Aircraft,Manufacturer,Country,Generation,Role,First_Flight,In_Service,Max_Speed_kmh,Supercruise_kmh,Service_Ceiling_m,Combat_Radius_km,Ferry_Range_km,Empty_Weight_kg,MTOW_kg,Hardpoints,Max_Weapon_Load_kg,Radar_Type,Radar_Model,RCS_m2,Engine_Count,Engine_Model,Thrust_per_Engine_kN,Supercruise_Capable,Thrust_Vectoring,Internal_Weapons_Bay,Units_Produced,Unit_Cost_M_USD,Status,Internal_Fuel_kg,Fuel_Consumption_Cruise_kg_h,Number_of_Operators,Cruise_Speed_kmh,Cost_per_Flight_Hour_USD,Radar_Score,Missile_Score,EW_Score,Combat_Kills,Combat_Losses_AirToAir,Combat_Record_Status,Kill_Loss_Ratio,Combat_Kills_A2A,Combat_Losses_A2A,Combat_Status,Kill_Ratio,Combat_Sorties_Estimated
F-22A Raptor,Lockheed Martin,USA,5,Air Superiority,1997,2005,2130,1810,15000,759,3330,19700,38000,12,5000,AESA,AN/APG-77,0.0001,2,Pratt & Whitney F119-PW-100,156,Yes,Yes,Yes,195,150,Operational,8200,4100,1,1060,70000,0.9,0.9,0.95,0,0,Limited,0.0,0,0,Limited,,2500
F-35A Lightning II,Lockheed Martin,USA,5,Multirole,2006,2016,1960,0,15240,1093,2800,13170,31800,10,10000,AESA,AN/APG-81,0.005,1,Pratt & Whitney F135-PW-100,191,No,No,Yes,1000,82,Operational,8278,2800,20,1050,42000,0.95,0.9,1.0,0,0,Limited,0.0,0,0,Limited,1.0,8000
Su-57 Felon,Sukhoi,Russia,5,Multirole,2010,2020,2135,1400,20000,1500,3500,18000,35000,12,7400,AESA,Sh121 MIRES,0.3,2,Saturn AL-41F1,147,Yes,Yes,Yes,32,42,Operational,10300,3500,1,1100,35000,0.95,0.9,0.75,1,0,,0.0,0,0,Limited,,500
F-15C Eagle,Boeing,USA,4,Air Superiority,1972,1976,2655,0,20000,1967,5745,12700,30845,9,10700,Mechanically Scanned,AN/APG-63,10.0,2,Pratt & Whitney F100-PW-220,105,No,No,No,1198,30,Operational,6103,4000,6,950,30000,0.3,0.75,0.35,104,0,Extensive,104.0,104,0,Extensive,104.0,50000
F-15EX Eagle II,Boeing,USA,4.5,Multirole,2021,2024,2655,0,20000,1967,5745,14300,36741,9,13000,AESA,AN/APG-82,3.0,2,General Electric F110-GE-129,131,No,No,No,104,88,Operational,6103,3800,1,950,29000,0.85,0.9,0.7,0,0,,0.0,0,0,None,,0
F-16C Fighting Falcon,Lockheed Martin,USA,4,Multirole,1974,1978,2120,0,15240,550,4220,8570,21772,9,7700,Mechanically Scanned,AN/APG-68,5.0,1,General Electric F110-GE-100,129,No,No,No,4604,35,Operational,3175,2500,25,900,22000,0.25,0.75,0.4,76,5,Extensive,76.0,76,1,Extensive,38.0,200000
F/A-18E Super Hornet,Boeing,USA,4.5,Multirole,1995,2001,1915,0,15240,722,3330,14552,29937,11,8050,AESA,AN/APG-79,1.0,2,General Electric F414-GE-400,98,No,No,No,608,67,Operational,6531,2900,3,880,28000,0.8,0.9,0.65,1,0,Limited,1.0,1,0,Extensive,1.0,30000
Su-35S Flanker-E,Sukhoi,Russia,4++,Air Superiority,2008,2014,2500,0,18000,1600,4500,18400,34500,12,8000,PESA,Irbis-E N035,3.0,2,Saturn AL-41F1S,142,No,Yes,No,172,50,Operational,11500,3800,5,980,18000,0.5,0.9,0.5,0,1,Limited,0.0,0,0,Limited,,3000
Su-27 Flanker,Sukhoi,Russia,4,Air Superiority,1977,1985,2500,0,18500,1500,3900,16380,33000,10,6000,Mechanically Scanned,N001 Myech,15.0,2,Saturn AL-31F,123,No,No,No,680,30,Operational,9400,3600,10,950,14000,0.2,0.6,0.2,6,10,Limited,0.5,6,10,Extensive,1.5,15000
MiG-29 Fulcrum,Mikoyan,Russia,4,Air Superiority,1977,1983,2400,0,18000,710,2100,11000,21000,7,4000,Mechanically Scanned,N019 Rubin,5.0,2,Klimov RD-33,81,No,No,No,1600,25,Operational,3500,3200,29,900,11000,0.15,0.6,0.15,5,27,Extensive,0.1818181818181818,4,24,Extensive,0.1666666666666666,20000
MiG-31 Foxhound,Mikoyan,Russia,4,Interceptor,1975,1981,3000,0,20600,720,3300,21825,46200,4,3000,PESA,Zaslon S-800,15.0,2,Soloviev D-30F6,152,No,No,No,519,50,Operational,16350,7500,2,950,24000,0.85,0.87,0.45,0,0,,1.0,1,0,Limited,,2000
J-20 Mighty Dragon,Chengdu,China,5,Air Superiority,2011,2017,2100,0,20000,1100,5500,17000,37000,8,7500,AESA,Type 1475 KLJ-5,0.01,2,WS-15,180,Yes,Yes,Yes,250,110,Operational,11000,3400,1,1050,40000,0.7,0.85,0.65,0,0,,0.0,0,0,None,,0
J-10C Vigorous Dragon,Chengdu,China,4.5,Multirole,1998,2018,2200,0,18000,550,2950,9250,19277,11,6000,AESA,KLJ-7A,3.0,1,Saturn AL-31FN,130,No,No,No,600,40,Operational,3400,2600,2,900,12000,0.6,0.85,0.45,0,0,Limited,3.0,3,0,Limited,,500
JF-17 Block 3 Thunder,CAC/PAC,China/Pakistan,4.5,Multirole,2003,2007,1960,0,16920,1352,3482,6586,12700,7,3800,AESA,KLJ-7A,3.0,1,Klimov RD-93,84,No,No,No,175,32,Operational,2330,1800,3,880,8000,0.6,0.85,0.35,1,0,Limited,2.0,2,0,Limited,3.0,2000
Eurofighter Typhoon,Eurofighter,Europe,4.5,Multirole,1994,2003,2495,1530,19812,1389,3790,11000,23500,13,7500,AESA,Captor-E,1.0,2,Eurojet EJ200,90,Yes,No,No,680,110,Operational,5000,2900,9,1000,40000,0.7,0.9,0.7,0,0,,0.0,0,0,Limited,,5000
